t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
2, 27.70, 22.30, -0.80, 0.75, 10.34, 0.01, 0.04, 0.07
12, 27.70, 22.30, 0.35, -4.23, 9.35, 0.02, -0.04, -0.06
22, 27.70, 22.30, 0.34, 1.90, 8.79, -0.01, -0.03, 0.05
32, 27.70, 22.30, -0.63, 1.97, 10.06, -0.01, 0.03, -0.02
42, 27.70, 22.30, 1.72, -3.17, 10.84, 0.04, -0.03, 0.01
52, 27.70, 22.30, 0.29, 2.03, 9.00, -0.04, 0.02, -0.03
62, 27.70, 22.30, 2.72, -0.93, 9.68, -0.00, 0.00, -0.05
72, 27.70, 22.30, -1.99, 0.23, 9.80, 0.05, 0.02, 0.10
82, 27.70, 22.30, 0.89, -6.38, 9.27, -0.03, -0.03, -0.06
92, 27.70, 22.30, 2.02, 6.54, 7.04, -0.00, -0.01, 0.02
102, 27.70, 22.30, 2.15, 0.22, 8.11, 0.00, 0.05, 0.00
112, 27.70, 22.30, 1.07, -5.68, 10.40, -0.01, -0.01, 0.04
122, 27.70, 22.30, -1.65, 3.74, 10.00, -0.02, 0.00, -0.09
132, 27.70, 22.30, 2.48, -3.16, 9.88, 0.04, 0.00, 0.06
142, 27.70, 22.30, -1.56, -0.22, 9.67, -0.02, 0.04, 0.02
152, 27.70, 22.30, 2.54, 0.34, 8.33, -0.06, -0.03, -0.11
161, 27.70, 22.30, 2.54, 0.34, 8.33, -0.06, -0.03, -0.11
172, 27.70, 22.30, 0.10, -5.54, 10.36, 0.03, 0.01, -0.05
182, 27.70, 22.30, -1.70, 1.89, 12.69, -0.01, 0.03, 0.03
192, 27.70, 22.30, 0.34, -0.52, 9.92, -0.00, 0.00, -0.02
201, 27.70, 22.30, 0.34, -0.52, 9.92, -0.00, 0.00, -0.02
212, 27.70, 22.30, -0.23, 5.46, 8.68, -0.07, 0.07, -0.02
222, 27.70, 22.30, 2.77, -4.46, 8.20, 0.01, -0.02, -0.00
232, 27.70, 22.30, -1.11, 0.74, 7.45, 0.04, -0.06, 0.03
242, 27.70, 22.30, 2.28, -1.63, 9.30, -0.03, 0.00, -0.06
252, 27.70, 22.30, 1.91, 3.19, 9.41, -0.04, 0.04, 0.04
262, 27.70, 22.30, 2.47, -3.31, 9.50, 0.01, -0.01, -0.04
271, 27.70, 22.30, 2.47, -3.31, 9.50, 0.01, -0.01, -0.04
281, 27.70, 22.30, 1.20, -1.78, 9.39, 0.03, -0.02, 0.07
292, 27.70, 22.30, 0.40, -3.10, 11.11, 0.06, -0.01, 0.03
302, 27.70, 22.30, -0.44, -0.64, 7.90, -0.01, 0.01, 0.01
312, 27.70, 22.30, 3.41, 0.36, 8.58, -0.01, 0.00, -0.10
322, 27.70, 22.30, -0.29, 2.55, 10.13, 0.03, 0.07, 0.11
332, 27.70, 22.30, 0.47, -8.31, 10.00, -0.01, -0.00, -0.03
342, 27.70, 22.30, -0.22, 2.80, 9.33, -0.01, -0.02, -0.00
352, 27.70, 22.30, -0.01, 3.11, 10.28, -0.00, 0.05, -0.01
362, 27.70, 22.30, 0.45, -5.37, 10.35, 0.01, 0.01, 0.04
372, 27.70, 22.30, 0.48, 5.21, 7.96, -0.03, 0.03, -0.07
382, 27.70, 22.30, 2.36, -1.96, 9.01, 0.03, -0.00, 0.03
392, 27.70, 22.30, -1.41, 0.36, 9.21, 0.02, 0.03, 0.07
402, 27.70, 22.30, 1.05, -1.88, 9.08, -0.06, -0.00, -0.08
412, 27.70, 22.30, 2.26, 2.13, 7.58, -0.01, 0.01, 0.05
422, 27.70, 22.30, 3.24, -1.57, 8.89, 0.03, 0.01, -0.05
432, 27.70, 22.30, 0.32, -1.65, 11.44, -0.00, 0.02, 0.06
442, 27.70, 22.30, -1.76, -0.32, 10.59, -0.03, 0.01, -0.01
