t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
2, 27.50, 22.50, 0.00, -5.68, 10.29, 0.02, 0.01, 0.04
11, 27.50, 22.50, 0.00, -5.68, 10.29, 0.02, 0.01, 0.04
21, 27.50, 22.50, -1.25, -0.27, 9.02, -0.04, 0.11, 0.05
32, 27.50, 22.50, -0.12, -0.13, 8.94, -0.01, 0.04, 0.09
41, 27.50, 22.50, -0.12, -0.13, 8.94, -0.01, 0.04, 0.09
52, 27.50, 22.50, -1.75, 1.68, 9.62, -0.05, 0.05, 0.05
62, 27.50, 22.50, -1.43, 1.14, 8.97, -0.05, 0.07, -0.03
72, 27.50, 22.50, 0.67, -4.90, 9.22, -0.00, 0.01, -0.03
82, 27.50, 22.50, -1.44, 3.24, 8.40, -0.09, 0.07, -0.04
92, 27.50, 22.50, 0.56, -0.62, 10.75, -0.05, 0.08, -0.03
102, 27.50, 22.50, 0.76, 1.34, 8.62, 0.02, 0.06, 0.09
111, 27.50, 22.50, 0.76, 1.34, 8.62, 0.02, 0.06, 0.09
122, 27.50, 22.50, -1.49, 3.17, 10.71, -0.05, 0.04, -0.01
132, 27.50, 22.50, 0.36, 3.18, 9.87, -0.03, 0.09, -0.01
142, 27.50, 22.50, 2.31, -6.18, 10.11, -0.05, 0.03, 0.04
152, 27.50, 22.50, 0.17, 3.53, 8.25, -0.09, 0.06, -0.09
162, 27.50, 22.50, 1.73, 0.17, 9.96, -0.02, 0.03, 0.02
172, 27.50, 22.50, -0.97, -1.17, 10.23, -0.00, 0.06, 0.11
182, 27.50, 22.50, -0.17, -3.13, 10.20, -0.10, 0.01, -0.11
192, 27.50, 22.50, -1.09, 3.38, 8.61, -0.05, 0.04, 0.03
201, 27.50, 22.50, -1.09, 3.38, 8.61, -0.05, 0.04, 0.03
211, 27.50, 22.50, -1.53, 3.54, 9.20, -0.03, 0.08, -0.03
222, 27.50, 22.50, 0.95, 2.51, 7.86, -0.10, 0.09, -0.02
232, 27.50, 22.50, 0.87, -2.86, 8.67, 0.02, 0.00, 0.01
242, 27.50, 22.50, -2.62, 0.73, 9.31, -0.05, 0.07, 0.07
251, 27.50, 22.50, -2.62, 0.73, 9.31, -0.05, 0.07, 0.07
261, 27.50, 22.50, -0.21, -7.72, 9.99, -0.08, 0.03, -0.07
