t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
2, 0.00, 50.00, 2.62, -19.61, 7.99, -0.13, 0.11, -0.20
12, 0.00, 50.00, 9.01, -19.58, 6.72, -0.18, 0.15, -0.25
22, 0.00, 50.00, 9.68, -19.61, 7.21, -0.15, 0.03, -0.22
31, 0.00, 50.00, 9.68, -19.61, 7.21, -0.15, 0.03, -0.22
42, 0.00, 50.00, 4.16, -10.30, 10.70, 0.01, -0.05, 0.00
51, 0.00, 50.00, 4.16, -10.30, 10.70, 0.01, -0.05, 0.00
61, 0.00, 50.00, 4.50, -11.63, 12.32, -0.03, -0.07, -0.03
71, 0.00, 50.00, 2.44, -7.91, 11.20, 0.07, -0.03, 0.06
81, 0.00, 50.00, -1.45, 10.45, 11.01, 0.06, -0.03, 0.04
91, 0.00, 50.00, 4.80, 17.99, 8.50, 0.05, 0.03, 0.06
101, 0.00, 50.00, -0.48, 19.61, 11.26, 0.06, 0.05, 0.11
111, 0.00, 50.00, -0.04, 19.61, 10.81, 0.07, 0.04, 0.20
121, 0.00, 50.00, -6.52, 18.67, 10.51, 0.10, 0.03, 0.23
132, 0.00, 50.00, 2.25, 3.18, 6.17, -0.13, 0.12, -0.06
141, 0.00, 50.00, 2.25, 3.18, 6.17, -0.13, 0.12, -0.06
152, 0.00, 50.00, -3.26, -17.90, 9.83, -0.12, 0.11, -0.10
161, 0.00, 50.00, -3.26, -17.90, 9.83, -0.12, 0.11, -0.10
172, 0.00, 50.00, 4.58, -19.61, 8.02, -0.14, 0.11, -0.21
181, 0.00, 50.00, 4.58, -19.61, 8.02, -0.14, 0.11, -0.21
191, 0.00, 50.00, 4.20, -19.61, 5.98, -0.12, 0.13, -0.18
201, 0.00, 50.00, 8.87, -18.56, 7.12, -0.19, 0.14, -0.23
211, 0.00, 50.00, 9.78, -19.61, 6.23, -0.11, 0.01, -0.20
221, 0.00, 50.00, 6.08, -13.82, 10.08, -0.04, -0.05, -0.08
231, 0.00, 50.00, 5.09, -8.62, 8.45, 0.05, -0.01, 0.06
241, 0.00, 50.00, -2.12, 6.16, 13.19, 0.08, -0.08, 0.05
251, 0.00, 50.00, 5.47, 19.54, 7.28, 0.04, 0.07, 0.07
261, 0.00, 50.00, 1.59, 19.61, 10.13, 0.05, 0.06, 0.12
271, 0.00, 50.00, -0.06, 19.61, 10.94, 0.07, 0.05, 0.19
281, 0.00, 50.00, -6.74, 17.98, 12.06, 0.09, 0.03, 0.24
291, 0.00, 50.00, -6.61, 18.78, 9.91, -0.00, 0.10, 0.16
302, 0.00, 50.00, 1.12, -12.57, 9.23, -0.15, 0.17, -0.08
312, 0.00, 50.00, -3.68, -18.12, 9.84, -0.10, 0.09, -0.09
321, 0.00, 50.00, -3.68, -18.12, 9.84, -0.10, 0.09, -0.09
331, 0.00, 50.00, -3.15, -17.13, 10.89, -0.11, 0.11, -0.09
341, 0.00, 50.00, -1.06, -19.61, 10.12, -0.11, 0.09, -0.15
351, 0.00, 50.00, 3.73, -19.61, 6.05, -0.16, 0.14, -0.22
361, 0.00, 50.00, 7.49, -19.15, 8.79, -0.18, 0.10, -0.22
371, 0.00, 50.00, 9.23, -19.61, 7.09, -0.08, -0.02, -0.19
381, 0.00, 50.00, 6.41, -14.80, 9.55, -0.03, -0.08, -0.06
391, 0.00, 50.00, 2.89, -9.41, 11.67, 0.02, -0.05, 0.03
401, 0.00, 50.00, -1.79, 2.67, 13.48, 0.07, 0.00, 0.05
411, 0.00, 50.00, 3.11, 19.17, 9.23, 0.04, -0.01, 0.05
421, 0.00, 50.00, 3.18, 19.61, 10.32, 0.05, 0.07, 0.10
432, 0.00, 50.00, -8.08, 19.61, 11.69, 0.03, 0.07, 0.20
442, 0.00, 50.00, -6.57, 14.12, 10.02, -0.04, 0.16, 0.09
451, 0.00, 50.00, -6.57, 14.12, 10.02, -0.04, 0.16, 0.09
461, 0.00, 50.00, -8.37, 19.61, 11.64, -0.01, 0.11, 0.15
471, 0.00, 50.00, -5.59, 13.05, 8.77, -0.06, 0.16, 0.04
481, 0.00, 50.00, -3.39, 8.98, 8.92, -0.12, 0.13, -0.05
491, 0.00, 50.00, 4.87, 0.68, 4.17, -0.16, 0.18, -0.06
501, 0.00, 50.00, -1.70, -15.15, 11.39, -0.10, 0.11, -0.07
511, 0.00, 50.00, -2.59, -19.45, 11.17, -0.11, 0.08, -0.12
521, 0.00, 50.00, 0.11, -19.61, 8.75, -0.14, 0.08, -0.19
531, 0.00, 50.00, 3.47, -19.61, 8.54, -0.18, 0.12, -0.24
541, 0.00, 50.00, 10.30, -19.61, 6.22, -0.14, 0.05, -0.21
551, 0.00, 50.00, 7.93, -19.61, 9.66, -0.05, -0.03, -0.14
561, 0.00, 50.00, 5.72, -11.81, 9.36, -0.02, -0.05, -0.01
572, 0.00, 50.00, 3.18, 19.61, 10.32, 0.05, 0.06, 0.09
582, 0.00, 50.00, -0.08, 19.61, 10.64, 0.07, 0.05, 0.17
592, 0.00, 50.00, -2.90, 19.52, 9.52, 0.11, 0.01, 0.23
601, 0.00, 50.00, -2.90, 19.52, 9.52, 0.11, 0.01, 0.23
612, 0.00, 50.00, -6.56, 14.63, 10.86, -0.04, 0.14, 0.11
621, 0.00, 50.00, -6.56, 14.63, 10.86, -0.04, 0.14, 0.11
631, 0.00, 50.00, -8.37, 18.73, 11.68, -0.05, 0.13, 0.12
641, 0.00, 50.00, -5.65, 10.01, 9.08, -0.08, 0.13, -0.01
651, 0.00, 50.00, -1.45, 7.06, 7.23, -0.14, 0.15, -0.04
661, 0.00, 50.00, 4.48, -4.73, 5.23, -0.13, 0.16, -0.07
671, 0.00, 50.00, -1.76, -16.93, 10.26, -0.09, 0.09, -0.07
681, 0.00, 50.00, -3.47, -19.61, 12.80, -0.13, 0.08, -0.16
691, 0.00, 50.00, 0.59, -19.61, 9.44, -0.15, 0.10, -0.22
701, 0.00, 50.00, 5.39, -19.61, 9.95, -0.16, 0.10, -0.22
711, 0.00, 50.00, 10.02, -19.61, 5.18, -0.09, -0.01, -0.16
722, 0.00, 50.00, -0.65, 12.09, 10.91, 0.04, -0.02, 0.03
732, 0.00, 50.00, 4.48, 19.33, 8.88, 0.05, 0.05, 0.10
742, 0.00, 50.00, -0.24, 19.61, 10.90, 0.06, 0.03, 0.13
751, 0.00, 50.00, -0.24, 19.61, 10.90, 0.06, 0.03, 0.13
761, 0.00, 50.00, 1.68, 19.61, 11.34, 0.05, 0.05, 0.11
771, 0.00, 50.00, 0.39, 19.61, 9.92, 0.09, 0.02, 0.22
781, 0.00, 50.00, -3.81, 18.45, 10.41, 0.12, 0.02, 0.24
791, 0.00, 50.00, -8.99, 19.03, 12.47, -0.00, 0.08, 0.17
801, 0.00, 50.00, -5.60, 13.35, 9.28, -0.04, 0.15, 0.04
811, 0.00, 50.00, -3.82, 7.66, 9.21, -0.12, 0.13, -0.04
821, 0.00, 50.00, 4.19, 0.68, 5.32, -0.13, 0.18, -0.06
831, 0.00, 50.00, 0.38, -16.10, 9.64, -0.08, 0.10, -0.08
841, 0.00, 50.00, -2.72, -18.32, 10.99, -0.12, 0.07, -0.14
851, 0.00, 50.00, 1.27, -19.61, 9.37, -0.14, 0.10, -0.21
862, 0.00, 50.00, 4.90, -12.35, 12.05, -0.02, -0.03, -0.03
871, 0.00, 50.00, 4.90, -12.35, 12.05, -0.02, -0.03, -0.03
882, 0.00, 50.00, -1.86, 7.52, 12.85, 0.05, -0.03, 0.05
891, 0.00, 50.00, -1.86, 7.52, 12.85, 0.05, -0.03, 0.05
901, 0.00, 50.00, -1.13, -3.18, 14.18, 0.07, -0.05, 0.04
911, 0.00, 50.00, -0.57, 14.75, 10.10, 0.04, 0.03, 0.04
921, 0.00, 50.00, 3.84, 18.70, 10.33, 0.06, 0.03, 0.10
931, 0.00, 50.00, -0.47, 19.61, 10.46, 0.07, 0.02, 0.19
941, 0.00, 50.00, -1.08, 19.61, 11.03, 0.12, 0.02, 0.24
951, 0.00, 50.00, -8.13, 18.31, 11.76, 0.04, 0.08, 0.19
961, 0.00, 50.00, -8.64, 17.81, 13.14, -0.03, 0.14, 0.09
971, 0.00, 50.00, -3.25, 10.70, 7.60, -0.09, 0.11, -0.02
981, 0.00, 50.00, -0.62, 5.42, 7.42, -0.14, 0.17, -0.06
991, 0.00, 50.00, 4.19, -8.65, 6.49, -0.11, 0.13, -0.07
1002, 0.00, 50.00, 4.50, -19.61, 9.60, -0.20, 0.10, -0.24
1012, 0.00, 50.00, 11.40, -19.61, 4.51, -0.11, 0.01, -0.19
1022, 0.00, 50.00, 6.44, -18.22, 10.64, -0.04, -0.06, -0.07
1031, 0.00, 50.00, 6.44, -18.22, 10.64, -0.04, -0.06, -0.07
1041, 0.00, 50.00, 8.13, -19.61, 9.20, -0.04, -0.06, -0.10
1051, 0.00, 50.00, 5.50, -12.33, 11.12, -0.01, -0.03, 0.01
1061, 0.00, 50.00, 1.63, -8.60, 12.57, 0.08, -0.05, 0.05
1071, 0.00, 50.00, -1.62, 8.18, 11.60, 0.05, -0.00, 0.05
1081, 0.00, 50.00, 5.18, 19.06, 9.18, 0.06, 0.06, 0.09
1091, 0.00, 50.00, 0.06, 19.61, 11.66, 0.08, 0.04, 0.17
1101, 0.00, 50.00, 0.58, 19.61, 10.72, 0.11, 0.02, 0.23
1111, 0.00, 50.00, -5.29, 17.86, 10.49, 0.10, 0.03, 0.23
1121, 0.00, 50.00, -9.13, 19.28, 11.83, -0.01, 0.13, 0.13
1131, 0.00, 50.00, -4.11, 12.92, 6.80, -0.06, 0.14, 0.00
1142, 0.00, 50.00, -3.81, -17.69, 11.41, -0.11, 0.05, -0.11
1151, 0.00, 50.00, -3.81, -17.69, 11.41, -0.11, 0.05, -0.11
1162, 0.00, 50.00, 3.93, -19.61, 7.17, -0.17, 0.14, -0.23
1171, 0.00, 50.00, 3.93, -19.61, 7.17, -0.17, 0.14, -0.23
1182, 0.00, 50.00, 9.51, -19.61, 7.25, -0.03, -0.04, -0.13
1191, 0.00, 50.00, 9.51, -19.61, 7.25, -0.03, -0.04, -0.13
1201, 0.00, 50.00, 12.28, -19.61, 4.21, -0.05, -0.04, -0.14
1211, 0.00, 50.00, 7.58, -18.52, 9.93, -0.01, -0.05, -0.02
1221, 0.00, 50.00, 4.89, -10.77, 10.42, 0.04, -0.04, 0.05
1231, 0.00, 50.00, -1.76, -1.12, 13.29, 0.06, -0.02, 0.06
1241, 0.00, 50.00, 2.37, 16.41, 8.77, 0.03, 0.04, 0.07
1252, 0.00, 50.00, -8.37, 17.32, 12.20, 0.04, 0.05, 0.20
1262, 0.00, 50.00, -8.71, 18.24, 12.28, -0.04, 0.15, 0.10
1271, 0.00, 50.00, -8.71, 18.24, 12.28, -0.04, 0.15, 0.10
1281, 0.00, 50.00, -8.42, 18.92, 11.66, -0.03, 0.11, 0.13
1291, 0.00, 50.00, -6.31, 14.60, 9.31, -0.07, 0.13, 0.00
1302, 0.00, 50.00, -2.54, -18.21, 11.07, -0.10, 0.07, -0.11
1312, 0.00, 50.00, -1.99, -19.61, 10.55, -0.11, 0.09, -0.17
1321, 0.00, 50.00, -1.99, -19.61, 10.55, -0.11, 0.09, -0.17
1331, 0.00, 50.00, -4.21, -19.08, 9.85, -0.12, 0.06, -0.14
1341, 0.00, 50.00, 0.62, -19.61, 8.27, -0.14, 0.11, -0.21
1351, 0.00, 50.00, 4.06, -19.61, 6.89, -0.18, 0.11, -0.24
1361, 0.00, 50.00, 7.67, -19.61, 8.50, -0.10, -0.00, -0.20
1371, 0.00, 50.00, 8.53, -19.61, 9.24, -0.03, -0.05, -0.07
1381, 0.00, 50.00, 5.65, -12.60, 10.29, 0.03, -0.03, 0.03
1391, 0.00, 50.00, 2.88, -8.24, 10.28, 0.06, -0.01, 0.03
1401, 0.00, 50.00, -0.85, 8.17, 11.22, 0.04, -0.02, 0.06
