t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
1412, 0.00, 50.00, -2.88, 19.61, 9.86, 0.10, 0.01, 0.23
1421, 0.00, 50.00, -2.88, 19.61, 9.86, 0.10, 0.01, 0.23
1432, 0.00, 50.00, -7.99, 15.06, 11.97, -0.05, 0.12, 0.05
1441, 0.00, 50.00, -7.99, 15.06, 11.97, -0.05, 0.12, 0.05
1452, 0.00, 50.00, 2.60, 3.43, 5.41, -0.15, 0.20, -0.06
1461, 0.00, 50.00, 2.60, 3.43, 5.41, -0.15, 0.20, -0.06
1471, 0.00, 50.00, -1.06, 6.89, 7.05, -0.15, 0.19, -0.07
1481, 0.00, 50.00, 5.65, -4.85, 4.74, -0.10, 0.13, -0.08
1491, 0.00, 50.00, -2.99, -17.01, 10.01, -0.13, 0.08, -0.14
1501, 0.00, 50.00, -0.51, -19.61, 8.74, -0.15, 0.10, -0.20
1511, 0.00, 50.00, 0.66, -19.61, 9.28, -0.19, 0.12, -0.23
1521, 0.00, 50.00, 6.50, -19.51, 9.06, -0.12, -0.00, -0.21
1531, 0.00, 50.00, 10.33, -19.61, 5.63, -0.04, -0.06, -0.10
1541, 0.00, 50.00, 5.76, -17.01, 9.30, -0.01, -0.02, 0.01
1551, 0.00, 50.00, 4.22, -10.84, 10.69, 0.07, -0.05, 0.04
1562, 0.00, 50.00, 0.38, 19.61, 10.59, 0.08, 0.03, 0.19
1571, 0.00, 50.00, 0.38, 19.61, 10.59, 0.08, 0.03, 0.19
1582, 0.00, 50.00, -8.20, 17.90, 12.07, 0.06, 0.09, 0.22
1591, 0.00, 50.00, -8.20, 17.90, 12.07, 0.06, 0.09, 0.22
1601, 0.00, 50.00, -1.85, 19.61, 8.75, 0.08, 0.04, 0.22
1611, 0.00, 50.00, -9.65, 18.84, 13.31, -0.02, 0.13, 0.15
1621, 0.00, 50.00, -7.21, 15.00, 10.72, -0.07, 0.13, -0.00
1631, 0.00, 50.00, -5.14, 8.91, 10.61, -0.16, 0.15, -0.06
1641, 0.00, 50.00, 2.85, 4.25, 5.77, -0.13, 0.17, -0.09
1651, 0.00, 50.00, 1.47, -12.22, 9.51, -0.09, 0.10, -0.09
1661, 0.00, 50.00, -3.62, -16.87, 10.43, -0.13, 0.12, -0.16
1671, 0.00, 50.00, 0.70, -19.61, 8.59, -0.15, 0.12, -0.21
1681, 0.00, 50.00, 4.41, -19.61, 7.60, -0.18, 0.06, -0.23
1691, 0.00, 50.00, 8.58, -19.61, 7.49, -0.06, -0.02, -0.15
1701, 0.00, 50.00, 6.99, -19.61, 11.09, -0.03, -0.03, -0.03
1711, 0.00, 50.00, 4.29, -11.93, 11.39, 0.05, -0.04, 0.04
1722, 0.00, 50.00, 1.67, 19.61, 10.77, 0.07, 0.02, 0.17
1731, 0.00, 50.00, 1.67, 19.61, 10.77, 0.07, 0.02, 0.17
1742, 0.00, 50.00, -6.50, 17.01, 12.19, 0.05, 0.02, 0.23
1751, 0.00, 50.00, -6.50, 17.01, 12.19, 0.05, 0.02, 0.23
1761, 0.00, 50.00, -9.43, 19.18, 12.57, 0.08, 0.03, 0.23
1771, 0.00, 50.00, -5.94, 11.58, 9.43, -0.03, 0.12, 0.13
1781, 0.00, 50.00, -3.39, 7.65, 8.78, -0.07, 0.14, -0.02
1791, 0.00, 50.00, 4.68, -0.92, 5.85, -0.14, 0.17, -0.05
1801, 0.00, 50.00, 0.05, -15.87, 9.45, -0.12, 0.19, -0.07
1811, 0.00, 50.00, -3.85, -18.22, 12.63, -0.10, 0.09, -0.10
1821, 0.00, 50.00, 0.35, -19.61, 8.78, -0.11, 0.07, -0.15
1831, 0.00, 50.00, 4.37, -19.61, 8.47, -0.15, 0.13, -0.21
1841, 0.00, 50.00, 12.25, -19.61, 3.69, -0.17, 0.09, -0.23
1852, 0.00, 50.00, 6.47, -11.33, 9.73, 0.05, -0.02, 0.03
1862, 0.00, 50.00, 1.41, -4.98, 11.26, 0.06, -0.03, 0.03
1872, 0.00, 50.00, -1.64, 11.66, 11.46, 0.03, 0.02, 0.06
1881, 0.00, 50.00, -1.64, 11.66, 11.46, 0.03, 0.02, 0.06
1891, 0.00, 50.00, 4.91, 19.58, 8.46, 0.04, 0.01, 0.04
1901, 0.00, 50.00, -0.11, 19.61, 11.39, 0.06, 0.06, 0.10
1911, 0.00, 50.00, 0.20, 19.61, 10.11, 0.07, 0.05, 0.17
1921, 0.00, 50.00, -8.18, 17.69, 12.71, 0.13, 0.01, 0.24
1931, 0.00, 50.00, -8.08, 18.88, 12.09, 0.05, 0.04, 0.22
1941, 0.00, 50.00, -5.06, 9.85, 8.77, -0.03, 0.14, 0.10
1951, 0.00, 50.00, -1.17, 7.59, 7.38, -0.09, 0.14, -0.03
1961, 0.00, 50.00, 4.30, -5.96, 6.36, -0.15, 0.17, -0.06
1971, 0.00, 50.00, -2.78, -17.48, 11.36, -0.10, 0.13, -0.07
1981, 0.00, 50.00, -0.80, -19.61, 11.53, -0.12, 0.07, -0.11
1991, 0.00, 50.00, 1.57, -19.61, 8.33, -0.13, 0.08, -0.19
2002, 0.00, 50.00, 9.90, -19.61, 5.45, -0.05, -0.02, -0.09
2012, 0.00, 50.00, 6.10, -13.70, 10.74, 0.02, -0.02, 0.02
2022, 0.00, 50.00, 3.21, -8.96, 10.61, 0.06, -0.05, 0.04
2031, 0.00, 50.00, 3.21, -8.96, 10.61, 0.06, -0.05, 0.04
2041, 0.00, 50.00, -2.92, 7.01, 13.35, 0.08, -0.00, 0.05
2051, 0.00, 50.00, 5.41, 19.15, 7.62, 0.03, 0.01, 0.04
2061, 0.00, 50.00, 1.13, 19.61, 9.90, 0.06, 0.06, 0.11
2071, 0.00, 50.00, -0.37, 19.61, 10.93, 0.09, 0.02, 0.21
2081, 0.00, 50.00, -9.29, 17.59, 12.96, 0.11, 0.00, 0.25
2091, 0.00, 50.00, -8.00, 18.20, 10.94, 0.01, 0.07, 0.18
2101, 0.00, 50.00, -5.37, 9.01, 9.70, -0.05, 0.16, 0.04
2111, 0.00, 50.00, -0.13, 5.99, 7.08, -0.11, 0.16, -0.06
2122, 0.00, 50.00, 1.52, -19.61, 9.31, -0.12, 0.12, -0.14
2131, 0.00, 50.00, 1.52, -19.61, 9.31, -0.12, 0.12, -0.14
2141, 0.00, 50.00, 1.24, -19.61, 8.04, -0.13, 0.07, -0.13
2151, 0.00, 50.00, 4.82, -19.61, 5.72, -0.12, 0.12, -0.20
2161, 0.00, 50.00, 8.84, -19.61, 7.61, -0.17, 0.09, -0.22
2171, 0.00, 50.00, 8.34, -19.61, 8.83, -0.10, 0.01, -0.17
2181, 0.00, 50.00, 5.91, -11.83, 10.03, -0.05, -0.06, -0.07
2192, 0.00, 50.00, 2.18, 19.61, 10.23, 0.04, 0.06, 0.10
2201, 0.00, 50.00, 2.18, 19.61, 10.23, 0.04, 0.06, 0.10
2212, 0.00, 50.00, -6.23, 18.25, 11.32, 0.11, -0.00, 0.22
2221, 0.00, 50.00, -6.23, 18.25, 11.32, 0.11, -0.00, 0.22
2231, 0.00, 50.00, -1.92, 19.61, 10.85, 0.09, 0.04, 0.23
2241, 0.00, 50.00, -9.11, 17.84, 12.70, 0.10, 0.03, 0.23
2251, 0.00, 50.00, -7.51, 16.72, 11.36, -0.02, 0.12, 0.17
2261, 0.00, 50.00, -4.68, 9.03, 10.28, -0.06, 0.14, 0.02
2271, 0.00, 50.00, 1.88, 4.58, 6.84, -0.13, 0.16, -0.07
2282, 0.00, 50.00, 0.64, -19.61, 8.96, -0.14, 0.07, -0.18
2291, 0.00, 50.00, 0.64, -19.61, 8.96, -0.14, 0.07, -0.18
2301, 0.00, 50.00, 0.85, -19.61, 7.43, -0.13, 0.08, -0.16
2312, 0.00, 50.00, 6.56, -14.70, 10.37, -0.05, -0.03, -0.12
2321, 0.00, 50.00, 6.56, -14.70, 10.37, -0.05, -0.03, -0.12
2331, 0.00, 50.00, 7.95, -19.14, 9.35, -0.06, 0.00, -0.17
2341, 0.00, 50.00, 6.20, -11.31, 8.70, -0.02, -0.04, -0.02
2351, 0.00, 50.00, -1.42, -4.10, 13.44, 0.04, -0.01, 0.02
2361, 0.00, 50.00, -0.92, 15.67, 10.87, 0.03, -0.05, 0.02
2371, 0.00, 50.00, 4.38, 19.61, 9.20, 0.04, 0.08, 0.08
2381, 0.00, 50.00, 0.25, 19.61, 9.85, 0.07, 0.05, 0.15
2391, 0.00, 50.00, -2.49, 19.61, 10.19, 0.11, 0.00, 0.22
2401, 0.00, 50.00, -10.13, 17.87, 14.11, 0.09, 0.03, 0.23
2411, 0.00, 50.00, -7.88, 16.00, 11.33, -0.04, 0.11, 0.12
2422, 0.00, 50.00, -2.80, -17.60, 11.31, -0.11, 0.18, -0.07
2431, 0.00, 50.00, -2.80, -17.60, 11.31, -0.11, 0.18, -0.07
2442, 0.00, 50.00, 0.94, -19.61, 9.22, -0.14, 0.09, -0.20
2452, 0.00, 50.00, 5.80, -19.61, 9.99, -0.19, 0.11, -0.22
2462, 0.00, 50.00, 9.78, -19.61, 6.52, -0.11, 0.02, -0.19
2471, 0.00, 50.00, 9.78, -19.61, 6.52, -0.11, 0.02, -0.19
2481, 0.00, 50.00, 8.95, -19.61, 7.78, -0.18, 0.09, -0.22
2491, 0.00, 50.00, 7.28, -19.61, 9.34, -0.05, -0.04, -0.14
2501, 0.00, 50.00, 6.03, -11.47, 10.24, -0.03, -0.05, -0.02
2511, 0.00, 50.00, 0.85, -6.34, 12.04, 0.05, 0.03, 0.03
2521, 0.00, 50.00, -1.77, 12.92, 11.61, 0.04, -0.08, 0.04
2531, 0.00, 50.00, 4.00, 19.44, 9.31, 0.05, 0.05, 0.06
2541, 0.00, 50.00, 1.83, 19.61, 8.80, 0.05, 0.07, 0.13
2551, 0.00, 50.00, -0.60, 19.61, 11.82, 0.08, 0.03, 0.23
2561, 0.00, 50.00, -7.29, 17.96, 11.59, 0.13, 0.02, 0.26
2571, 0.00, 50.00, -9.61, 18.95, 13.66, -0.00, 0.07, 0.19
2582, 0.00, 50.00, 0.94, -13.57, 9.68, -0.13, 0.18, -0.08
2592, 0.00, 50.00, -3.52, -17.29, 9.80, -0.09, 0.10, -0.09
2602, 0.00, 50.00, 0.71, -19.61, 8.48, -0.14, 0.07, -0.17
2611, 0.00, 50.00, 0.71, -19.61, 8.48, -0.14, 0.07, -0.17
2621, 0.00, 50.00, -0.46, -19.18, 8.32, -0.13, 0.11, -0.15
2631, 0.00, 50.00, 1.55, -19.61, 9.01, -0.17, 0.11, -0.22
2641, 0.00, 50.00, 8.62, -18.88, 6.93, -0.19, 0.12, -0.23
2651, 0.00, 50.00, 10.41, -19.61, 6.46, -0.08, 0.01, -0.18
2661, 0.00, 50.00, 7.17, -16.21, 9.59, -0.02, -0.05, -0.06
2671, 0.00, 50.00, 5.69, -11.21, 9.31, 0.01, -0.04, 0.04
2681, 0.00, 50.00, -0.40, -2.26, 12.42, 0.06, -0.05, 0.04
2691, 0.00, 50.00, 1.26, 15.14, 9.54, 0.04, 0.00, 0.03
2701, 0.00, 50.00, 3.84, 19.61, 10.53, 0.04, 0.07, 0.07
2711, 0.00, 50.00, 0.14, 19.61, 9.37, 0.05, 0.05, 0.14
2721, 0.00, 50.00, -0.12, 19.61, 10.74, 0.09, 0.02, 0.23
2731, 0.00, 50.00, -8.41, 18.51, 12.27, 0.08, 0.04, 0.22
2742, 0.00, 50.00, 4.10, -0.27, 4.65, -0.16, 0.15, -0.05
2751, 0.00, 50.00, 4.10, -0.27, 4.65, -0.16, 0.15, -0.05
2761, 0.00, 50.00, -0.78, 5.63, 8.13, -0.13, 0.13, -0.06
2771, 0.00, 50.00, 3.43, -8.87, 6.64, -0.12, 0.17, -0.06
2781, 0.00, 50.00, -3.85, -18.94, 11.18, -0.09, 0.10, -0.10
2791, 0.00, 50.00, 2.31, -19.61, 6.41, -0.12, 0.12, -0.15
2801, 0.00, 50.00, 2.44, -19.61, 8.60, -0.16, 0.13, -0.23
2811, 0.00, 50.00, 8.57, -19.61, 7.38, -0.16, 0.06, -0.22
2821, 0.00, 50.00, 9.18, -19.61, 7.90, -0.07, -0.01, -0.15
2831, 0.00, 50.00, 6.28, -14.67, 10.80, -0.01, -0.07, -0.04
2841, 0.00, 50.00, 5.43, -10.55, 9.05, 0.04, -0.01, 0.04
2851, 0.00, 50.00, -1.42, 2.98, 12.62, 0.08, -0.06, 0.05
2861, 0.00, 50.00, 4.39, 17.98, 8.31, 0.05, 0.04, 0.05
2872, 0.00, 50.00, -7.50, 19.46, 11.29, 0.11, 0.02, 0.24
2882, 0.00, 50.00, -8.92, 18.75, 11.98, 0.02, 0.10, 0.19
2891, 0.00, 50.00, -8.92, 18.75, 11.98, 0.02, 0.10, 0.19
2901, 0.00, 50.00, -10.04, 19.01, 15.18, 0.07, 0.05, 0.22
2911, 0.00, 50.00, -7.51, 16.31, 11.84, -0.01, 0.13, 0.12
2921, 0.00, 50.00, -4.36, 10.31, 9.17, -0.07, 0.09, -0.00
2931, 0.00, 50.00, 0.69, 5.08, 7.32, -0.15, 0.18, -0.05
2941, 0.00, 50.00, 3.24, -10.47, 7.36, -0.10, 0.16, -0.08
2951, 0.00, 50.00, -7.34, -18.30, 13.38, -0.10, 0.06, -0.11
2961, 0.00, 50.00, -0.34, -19.61, 8.19, -0.15, 0.13, -0.19
2971, 0.00, 50.00, 2.69, -19.61, 8.37, -0.18, 0.14, -0.24
2981, 0.00, 50.00, 10.00, -19.10, 5.71, -0.18, 0.11, -0.23
2991, 0.00, 50.00, 9.64, -19.61, 7.45, -0.07, -0.03, -0.16
3002, 0.00, 50.00, 0.13, 12.92, 10.01, 0.04, -0.02, 0.05
3011, 0.00, 50.00, 0.13, 12.92, 10.01, 0.04, -0.02, 0.05
3021, 0.00, 50.00, -1.77, 0.80, 13.08, 0.07, -0.03, 0.04
3031, 0.00, 50.00, 2.14, 17.55, 10.57, 0.03, 0.00, 0.05
3041, 0.00, 50.00, 0.77, 19.61, 10.65, 0.04, 0.05, 0.10
3051, 0.00, 50.00, 0.43, 19.61, 9.33, 0.07, 0.04, 0.17
3061, 0.00, 50.00, -2.71, 19.61, 8.97, 0.11, 0.02, 0.23
3071, 0.00, 50.00, -8.73, 18.91, 12.71, 0.03, 0.09, 0.19
3081, 0.00, 50.00, -8.45, 15.44, 12.65, -0.03, 0.12, 0.08
3091, 0.00, 50.00, -4.36, 9.52, 9.73, -0.08, 0.13, -0.02
3101, 0.00, 50.00, 2.47, 3.05, 5.40, -0.14, 0.19, -0.06
3111, 0.00, 50.00, 2.26, -13.01, 9.16, -0.11, 0.15, -0.07
3121, 0.00, 50.00, -4.95, -18.44, 10.62, -0.12, 0.05, -0.13
3131, 0.00, 50.00, 1.11, -19.61, 7.50, -0.15, 0.08, -0.20
3141, 0.00, 50.00, 5.22, -19.61, 5.61, -0.19, 0.11, -0.23
3152, 0.00, 50.00, 6.96, -11.57, 7.60, 0.01, 0.00, 0.01
3162, 0.00, 50.00, -2.02, 0.28, 13.68, 0.06, -0.02, 0.02
3171, 0.00, 50.00, -2.02, 0.28, 13.68, 0.06, -0.02, 0.02
3181, 0.00, 50.00, 3.66, -9.15, 10.21, 0.06, 0.00, 0.04
3191, 0.00, 50.00, -1.87, 8.76, 11.75, 0.03, -0.01, 0.05
3201, 0.00, 50.00, 4.05, 18.85, 8.77, 0.04, 0.06, 0.07
3211, 0.00, 50.00, 0.24, 19.61, 10.93, 0.06, 0.06, 0.15
3221, 0.00, 50.00, 1.09, 19.61, 10.27, 0.10, 0.02, 0.23
3231, 0.00, 50.00, -4.94, 19.02, 11.25, 0.10, 0.04, 0.24
