t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
741, 27.70, 22.30, -1.60, 2.69, 9.57, -0.04, 0.09, 0.04
752, 27.70, 22.30, -0.66, 0.78, 10.47, -0.01, 0.08, 0.08
762, 27.70, 22.30, -1.89, -6.27, 10.59, -0.05, 0.03, -0.06
771, 27.70, 22.30, -1.89, -6.27, 10.59, -0.05, 0.03, -0.06
781, 27.70, 22.30, 0.38, 1.87, 8.78, -0.08, 0.04, 0.02
791, 27.70, 22.30, -0.95, 1.70, 9.38, -0.02, 0.09, -0.02
801, 27.70, 22.30, 1.99, -4.23, 10.74, -0.03, 0.05, 0.05
812, 27.70, 22.30, 1.02, -2.38, 11.99, -0.01, 0.04, 0.06
821, 27.70, 22.30, 1.02, -2.38, 11.99, -0.01, 0.04, 0.06
831, 27.70, 22.30, -1.36, -1.21, 8.37, -0.06, 0.10, 0.05
841, 27.70, 22.30, 0.59, -2.57, 9.22, -0.07, 0.07, -0.11
851, 27.70, 22.30, 1.03, 4.88, 9.16, -0.03, 0.06, 0.08
861, 27.70, 22.30, 1.32, -2.26, 10.24, -0.02, 0.06, -0.04
871, 27.70, 22.30, -1.16, -1.77, 11.99, -0.04, 0.07, 0.01
881, 27.70, 22.30, -0.89, 1.36, 9.61, -0.01, 0.09, -0.04
891, 27.70, 22.30, 2.26, -1.45, 8.39, -0.02, 0.03, 0.02
901, 27.70, 22.30, -2.39, 2.46, 8.77, -0.07, 0.11, -0.03
911, 27.70, 22.30, 3.21, -4.82, 9.86, -0.05, 0.07, -0.04
921, 27.70, 22.30, -0.11, 2.51, 9.46, 0.01, 0.04, 0.04
931, 27.70, 22.30, -2.01, -2.78, 10.96, -0.07, 0.03, -0.04
941, 27.70, 22.30, -1.73, 0.84, 9.80, -0.07, 0.08, 0.05
952, 27.70, 22.30, -0.74, -1.29, 9.91, -0.05, 0.04, 0.05
961, 27.70, 22.30, -0.74, -1.29, 9.91, -0.05, 0.04, 0.05
971, 27.70, 22.30, 0.01, 2.97, 8.22, -0.06, 0.09, -0.06
981, 27.70, 22.30, 1.75, -3.00, 11.68, 0.00, 0.08, 0.05
991, 27.70, 22.30, -0.69, -0.52, 9.66, -0.04, 0.09, 0.01
1001, 27.70, 22.30, 1.15, -2.28, 9.79, -0.07, 0.03, -0.11
1011, 27.70, 22.30, -0.88, 2.36, 9.62, -0.01, 0.05, 0.07
1021, 27.70, 22.30, -0.78, -6.02, 9.38, -0.03, 0.05, -0.03
1031, 27.70, 22.30, 0.85, 0.58, 8.78, -0.05, 0.05, 0.01
1041, 27.70, 22.30, 0.22, 3.26, 9.00, -0.02, 0.05, -0.02
1051, 27.70, 22.30, 0.96, -2.88, 11.41, -0.05, 0.01, 0.03
1061, 27.70, 22.30, -1.54, 2.45, 9.49, -0.08, 0.07, -0.06
1071, 27.70, 22.30, 2.41, -3.77, 9.31, -0.02, 0.02, 0.02
1081, 27.70, 22.30, -0.66, 2.33, 8.12, -0.02, 0.02, 0.03
1091, 27.70, 22.30, 0.71, -1.22, 8.81, -0.09, 0.06, -0.09
1101, 27.70, 22.30, 2.75, 0.33, 9.00, -0.03, 0.09, 0.08
1111, 27.70, 22.30, 1.02, -2.63, 10.79, 0.00, 0.02, -0.07
1121, 27.70, 22.30, -1.06, 0.33, 11.48, -0.06, 0.01, 0.05
1131, 27.70, 22.30, -2.78, -0.49, 9.11, -0.04, 0.08, -0.03
1142, 27.70, 22.30, 0.47, 2.25, 7.57, -0.07, 0.10, -0.04
1151, 27.70, 22.30, 0.47, 2.25, 7.57, -0.07, 0.10, -0.04
1161, 27.70, 22.30, 2.67, -1.30, 10.18, -0.02, 0.04, -0.03
1171, 27.70, 22.30, -1.05, 1.74, 9.82, -0.01, 0.10, 0.07
1181, 27.70, 22.30, -0.76, -5.86, 10.02, -0.08, 0.08, -0.05
1191, 27.70, 22.30, -0.03, 4.28, 8.61, -0.05, 0.09, 0.02
1201, 27.70, 22.30, 1.65, 1.59, 8.25, -0.02, 0.10, -0.01
1211, 27.70, 22.30, 2.45, -3.65, 8.97, -0.06, 0.08, 0.04
1221, 27.70, 22.30, -0.34, 3.03, 9.73, -0.03, 0.10, -0.07
1231, 27.70, 22.30, 1.15, -3.26, 11.33, -0.01, 0.05, 0.05
1241, 27.70, 22.30, -2.27, 1.17, 9.67, -0.06, 0.09, -0.03
1251, 27.70, 22.30, 0.53, -1.63, 9.59, -0.05, 0.06, -0.08
1261, 27.70, 22.30, 0.28, 0.83, 8.60, 0.01, 0.08, 0.09
1272, 27.70, 22.30, 1.36, 4.97, 8.19, -0.03, 0.08, 0.06
1282, 27.70, 22.30, 2.00, -3.73, 8.72, -0.02, 0.09, 0.00
1292, 27.70, 22.30, 0.68, -1.35, 10.33, -0.04, 0.07, 0.01
1301, 27.70, 22.30, 0.68, -1.35, 10.33, -0.04, 0.07, 0.01
1312, 27.70, 22.30, 0.76, -4.23, 11.05, -0.02, 0.04, 0.02
1322, 27.70, 22.30, -2.89, 1.80, 9.97, -0.05, 0.10, -0.04
1331, 27.70, 22.30, -2.89, 1.80, 9.97, -0.05, 0.10, -0.04
1342, 27.70, 22.30, 0.69, 3.46, 7.89, 0.01, 0.05, 0.06
1352, 27.70, 22.30, -1.15, -3.62, 9.65, -0.05, 0.07, -0.06
1362, 27.70, 22.30, -1.17, -1.94, 10.25, -0.05, 0.08, 0.04
1372, 27.70, 22.30, -0.13, 1.99, 10.23, 0.00, 0.04, -0.07
1382, 27.70, 22.30, 1.89, -0.32, 9.92, -0.05, 0.03, 0.06
1392, 27.70, 22.30, -0.65, 1.62, 8.04, -0.09, 0.12, -0.03
1402, 27.70, 22.30, 3.52, -1.97, 7.57, -0.00, 0.05, -0.00
1412, 27.70, 22.30, -1.50, 1.73, 7.99, -0.02, 0.05, 0.03
1422, 27.70, 22.30, 1.04, -2.89, 9.48, -0.08, 0.04, -0.10
1432, 27.70, 22.30, 1.10, 3.22, 10.00, -0.02, 0.09, 0.05
1442, 27.70, 22.30, 1.26, -4.86, 10.56, 0.00, 0.03, -0.01
1452, 27.70, 22.30, -0.18, 0.27, 10.42, -0.06, 0.03, -0.00
1462, 27.70, 22.30, -3.33, 1.98, 10.64, -0.03, 0.11, -0.03
1472, 27.70, 22.30, 1.96, -6.30, 8.73, -0.02, 0.04, 0.03
1481, 27.70, 22.30, 1.96, -6.30, 8.73, -0.02, 0.04, 0.03
1492, 27.70, 22.30, 2.66, -0.76, 10.14, -0.03, 0.04, 0.02
1501, 27.70, 22.30, 2.66, -0.76, 10.14, -0.03, 0.04, 0.02
1512, 27.70, 22.30, -1.41, -4.04, 10.64, -0.07, 0.06, -0.11
1522, 27.70, 22.30, -0.42, 2.67, 8.58, -0.04, 0.08, 0.04
1532, 27.70, 22.30, 2.16, 1.34, 7.12, 0.00, 0.06, -0.05
1542, 27.70, 22.30, 2.15, -1.48, 9.48, -0.06, 0.08, 0.06
1552, 27.70, 22.30, -0.83, -0.58, 10.06, -0.05, 0.09, -0.03
1562, 27.70, 22.30, 1.35, -3.05, 11.31, 0.00, 0.02, -0.01
1572, 27.70, 22.30, -2.57, 3.16, 10.12, -0.06, 0.07, -0.01
1582, 27.70, 22.30, 0.74, -3.43, 9.67, -0.08, 0.06, -0.05
1592, 27.70, 22.30, 0.40, 2.24, 8.71, 0.02, 0.04, 0.05
1602, 27.70, 22.30, -1.56, -4.04, 9.83, -0.03, -0.01, -0.06
1612, 27.70, 22.30, -0.47, 0.87, 10.57, -0.07, 0.07, 0.02
1622, 27.70, 22.30, -0.09, 0.91, 10.24, -0.01, 0.08, -0.02
1632, 27.70, 22.30, 0.89, -3.06, 9.97, -0.07, 0.01, 0.04
1642, 27.70, 22.30, -0.65, 3.64, 7.93, -0.06, 0.05, -0.07
1652, 27.70, 22.30, 2.89, -1.82, 9.45, -0.01, 0.13, 0.06
1662, 27.70, 22.30, 0.14, -1.53, 8.57, -0.05, 0.10, 0.01
1672, 27.70, 22.30, -0.75, -2.80, 10.19, -0.07, 0.00, -0.12
1681, 27.70, 22.30, -0.75, -2.80, 10.19, -0.07, 0.00, -0.12
1691, 27.70, 22.30, -1.75, 3.73, 10.13, -0.06, 0.09, 0.05
1702, 27.70, 22.30, 1.00, 1.27, 10.15, -0.06, 0.08, 0.00
1712, 27.70, 22.30, -1.05, 2.24, 7.69, -0.02, 0.06, -0.04
1722, 27.70, 22.30, 1.34, -3.07, 10.76, -0.04, -0.01, 0.01
1732, 27.70, 22.30, -1.23, 2.22, 9.46, -0.09, 0.09, -0.04
1742, 27.70, 22.30, 2.54, -3.86, 10.88, -0.02, 0.02, 0.03
1752, 27.70, 22.30, -0.15, 1.38, 8.83, -0.02, 0.02, 0.02
1762, 27.70, 22.30, -0.56, -1.74, 9.48, -0.08, 0.06, -0.08
1772, 27.70, 22.30, 2.19, 0.58, 8.30, -0.03, 0.07, 0.06
1782, 27.70, 22.30, 2.28, -1.16, 9.14, 0.01, 0.00, -0.06
1792, 27.70, 22.30, -0.69, 0.49, 11.92, -0.06, 0.04, 0.06
1802, 27.70, 22.30, -2.75, -0.32, 10.36, -0.04, 0.11, -0.03
1812, 27.70, 22.30, 1.89, -3.41, 9.39, -0.01, 0.06, -0.00
1822, 27.70, 22.30, -1.68, 2.92, 8.26, -0.08, 0.09, -0.04
1832, 27.70, 22.30, 2.19, -2.38, 10.34, -0.03, 0.06, -0.02
1842, 27.70, 22.30, -0.65, 0.57, 10.34, -0.01, 0.08, 0.06
1852, 27.70, 22.30, -1.32, -4.71, 10.62, -0.09, 0.06, -0.07
1862, 27.70, 22.30, -0.09, 5.13, 8.99, -0.03, 0.08, 0.02
1872, 27.70, 22.30, 1.83, 1.30, 7.69, -0.01, 0.08, -0.01
1882, 27.70, 22.30, 2.41, -4.49, 8.43, -0.06, 0.05, 0.03
1892, 27.70, 22.30, -1.30, 3.51, 9.70, -0.02, 0.07, -0.08
1902, 27.70, 22.30, 1.23, -2.46, 12.10, -0.02, 0.04, 0.06
1912, 27.70, 22.30, -2.31, 0.09, 9.94, -0.07, 0.09, -0.03
1922, 27.70, 22.30, 0.98, -2.87, 10.96, -0.05, 0.05, -0.09
1932, 27.70, 22.30, -0.96, 0.06, 9.21, 0.00, 0.06, 0.09
1942, 27.70, 22.30, 0.23, -1.61, 8.06, -0.07, 0.03, -0.08
1952, 27.70, 22.30, 1.75, 3.79, 8.26, -0.06, 0.09, 0.04
1962, 27.70, 22.30, 1.95, -4.19, 9.02, 0.00, 0.07, -0.01
1972, 27.70, 22.30, -0.35, -1.27, 11.03, -0.05, 0.04, 0.00
1982, 27.70, 22.30, -2.42, 2.72, 10.79, -0.06, 0.08, -0.02
1992, 27.70, 22.30, 1.47, -4.78, 9.54, -0.02, 0.04, 0.05
2002, 27.70, 22.30, -1.48, 1.44, 8.13, -0.04, 0.06, -0.03
2012, 27.70, 22.30, 2.54, -1.85, 9.29, -0.07, 0.03, -0.08
2022, 27.70, 22.30, 1.14, 2.11, 9.30, -0.02, 0.06, 0.07
2032, 27.70, 22.30, -1.09, -3.88, 10.48, -0.02, 0.03, -0.06
2042, 27.70, 22.30, -1.39, -0.16, 9.79, -0.06, 0.06, 0.04
2052, 27.70, 22.30, 1.16, 1.06, 8.45, -0.01, 0.05, -0.07
2062, 27.70, 22.30, 2.21, -0.23, 8.77, -0.04, 0.07, 0.04
2072, 27.70, 22.30, -0.29, 0.60, 7.99, -0.09, 0.11, -0.03
2082, 27.70, 22.30, 1.99, -2.90, 9.63, -0.00, 0.03, -0.03
2092, 27.70, 22.30, -2.00, 2.07, 9.64, -0.02, 0.07, 0.07
2102, 27.70, 22.30, 0.60, -3.43, 10.36, -0.09, 0.09, -0.08
2112, 27.70, 22.30, -0.19, 3.49, 9.95, -0.03, 0.09, 0.01
2122, 27.70, 22.30, -0.24, -5.28, 9.27, 0.00, 0.05, -0.01
2132, 27.70, 22.30, -0.47, 0.28, 9.02, -0.07, 0.06, 0.02
2142, 27.70, 22.30, -0.40, 3.34, 9.63, -0.03, 0.10, -0.05
2152, 27.70, 22.30, 1.96, -4.46, 10.54, 0.01, 0.04, 0.05
2162, 27.70, 22.30, -1.04, 3.03, 8.46, -0.05, 0.07, -0.08
2172, 27.70, 22.30, 1.63, -1.19, 10.10, -0.07, 0.09, -0.04
2182, 27.70, 22.30, -1.28, -0.55, 9.73, -0.00, 0.11, 0.10
2192, 27.70, 22.30, -0.69, -3.39, 9.30, -0.04, 0.02, -0.11
2202, 27.70, 22.30, 0.29, 3.86, 7.08, -0.06, 0.04, 0.05
2212, 27.70, 22.30, 2.70, 0.05, 7.46, -0.03, 0.09, -0.01
2222, 27.70, 22.30, 2.05, -1.55, 10.79, -0.05, 0.07, 0.03
2232, 27.70, 22.30, -0.62, 1.24, 10.45, -0.06, 0.08, -0.05
2242, 27.70, 22.30, 1.18, -2.06, 10.61, -0.01, 0.02, 0.02
2252, 27.70, 22.30, -3.06, 2.60, 10.00, -0.04, 0.10, 0.02
2262, 27.70, 22.30, 1.49, -4.83, 8.62, -0.09, 0.05, -0.07
2272, 27.70, 22.30, 0.01, 2.37, 8.27, -0.00, 0.02, 0.03
2282, 27.70, 22.30, -1.51, -3.09, 10.45, -0.03, 0.04, -0.03
2292, 27.70, 22.30, -0.94, -0.32, 10.36, -0.07, 0.08, 0.03
2302, 27.70, 22.30, 1.25, 2.27, 9.45, -0.01, 0.08, -0.06
2312, 27.70, 22.30, 0.91, -2.01, 10.44, -0.03, 0.02, 0.04
2322, 27.70, 22.30, -0.47, 3.30, 8.37, -0.08, 0.12, -0.05
2332, 27.70, 22.30, 1.41, -2.89, 10.10, -0.03, 0.05, -0.04
2342, 27.70, 22.30, -0.20, -0.63, 7.91, 0.00, 0.05, 0.08
2352, 27.70, 22.30, 0.96, -2.74, 9.05, -0.07, 0.03, -0.10
2362, 27.70, 22.30, 1.60, 4.42, 9.03, -0.05, 0.11, 0.06
2372, 27.70, 22.30, 1.22, -5.41, 10.18, 0.00, 0.07, -0.00
2382, 27.70, 22.30, -1.16, -1.06, 11.03, -0.05, 0.01, -0.01
