t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
1, 25.00, 25.00, -0.31, 17.16, -0.31, 4.05, 4.36, -3.69
11, 25.00, 25.00, 1.77, -2.66, 9.56, -0.01, 0.02, 0.02
21, 25.00, 25.00, -0.28, 2.72, 9.82, -0.05, 0.08, -0.02
31, 25.00, 25.00, 0.11, -2.20, 8.99, -0.08, 0.09, -0.10
41, 25.00, 25.00, 0.79, 0.26, 9.19, -0.04, 0.07, 0.08
51, 25.00, 25.00, -0.55, 1.48, 9.47, -0.04, 0.07, -0.07
61, 25.00, 25.00, 1.68, -2.75, 9.83, -0.01, 0.01, 0.03
71, 25.00, 25.00, -0.58, 2.44, 9.79, -0.04, 0.08, -0.02
81, 25.00, 25.00, 0.08, -2.86, 9.04, -0.10, 0.08, -0.12
91, 25.00, 25.00, -0.11, -0.49, 10.06, -0.03, 0.08, 0.07
101, 25.00, 25.00, -0.70, 2.60, 9.32, -0.03, 0.08, -0.08
111, 25.00, 25.00, 1.40, -3.28, 10.27, -0.01, 0.01, 0.02
121, 25.00, 25.00, -0.68, 2.14, 9.27, -0.04, 0.08, -0.00
131, 25.00, 25.00, -0.49, -3.86, 9.81, -0.09, 0.06, -0.10
141, 25.00, 25.00, -0.34, -0.47, 9.97, -0.04, 0.06, 0.06
151, 25.00, 25.00, -0.62, 3.14, 8.95, -0.03, 0.06, -0.08
161, 25.00, 25.00, 2.04, -2.56, 10.72, -0.00, 0.01, 0.02
171, 25.00, 25.00, -0.81, 1.33, 9.35, -0.04, 0.09, 0.02
181, 25.00, 25.00, -0.85, -4.52, 10.77, -0.10, 0.06, -0.11
191, 25.00, 25.00, -0.55, -1.35, 9.20, -0.03, 0.07, 0.06
201, 25.00, 25.00, -0.64, 3.92, 9.08, -0.03, 0.05, -0.08
211, 25.00, 25.00, 1.98, -2.47, 10.16, -0.01, 0.04, 0.02
221, 25.00, 25.00, 0.07, 1.16, 9.63, -0.04, 0.08, 0.04
231, 25.00, 25.00, -0.17, -3.17, 10.27, -0.08, 0.06, -0.08
241, 25.00, 25.00, 0.17, -3.05, 9.44, -0.03, 0.05, 0.06
251, 25.00, 25.00, -0.72, 3.88, 9.61, -0.02, 0.06, -0.07
261, 25.00, 25.00, 1.67, -2.43, 10.62, -0.02, 0.05, 0.02
271, 25.00, 25.00, 1.55, 1.34, 8.89, -0.01, 0.09, 0.06
281, 25.00, 25.00, 0.67, -4.13, 8.83, -0.06, 0.06, -0.07
291, 25.00, 25.00, -0.05, -3.22, 10.52, -0.02, 0.03, 0.05
301, 25.00, 25.00, -0.90, 3.44, 9.16, -0.03, 0.05, -0.05
311, 25.00, 25.00, 3.48, -1.66, 9.45, -0.04, 0.06, 0.03
321, 25.00, 25.00, 0.64, 1.09, 10.29, -0.00, 0.09, 0.09
