t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
331, 25.00, 25.00, 1.58, -2.92, 9.41, -0.05, 0.06, -0.05
341, 25.00, 25.00, 0.18, -3.77, 9.40, -0.03, 0.01, 0.06
351, 25.00, 25.00, -1.25, 2.97, 9.84, -0.04, 0.05, -0.06
361, 25.00, 25.00, 3.65, -1.31, 8.36, -0.05, 0.10, 0.00
371, 25.00, 25.00, 1.67, 2.26, 9.35, 0.01, 0.11, 0.10
381, 25.00, 25.00, 0.79, -2.80, 9.03, -0.04, 0.06, -0.03
391, 25.00, 25.00, -0.61, -3.69, 10.57, -0.03, 0.02, 0.04
401, 25.00, 25.00, -1.29, 3.33, 9.39, -0.05, 0.05, -0.04
411, 25.00, 25.00, 2.63, -3.25, 9.52, -0.07, 0.08, -0.02
421, 25.00, 25.00, 1.25, 2.63, 9.24, 0.01, 0.08, 0.07
431, 25.00, 25.00, 1.70, -1.48, 9.90, -0.05, 0.10, -0.03
441, 25.00, 25.00, 0.83, -4.93, 9.74, -0.04, 0.04, 0.04
451, 25.00, 25.00, 0.21, 4.14, 8.29, -0.04, 0.04, -0.06
461, 25.00, 25.00, 1.97, -2.74, 9.05, -0.07, 0.07, -0.05
471, 25.00, 25.00, 0.70, 2.77, 10.70, -0.02, 0.09, 0.06
481, 25.00, 25.00, 2.59, 0.10, 9.44, -0.05, 0.11, -0.04
491, 25.00, 25.00, 2.07, -5.29, 9.08, -0.03, 0.00, 0.02
501, 25.00, 25.00, -1.27, 4.53, 8.81, -0.04, 0.04, -0.07
511, 25.00, 25.00, 1.36, -2.59, 10.34, -0.08, 0.09, -0.08
521, 25.00, 25.00, 2.28, 2.60, 8.82, -0.03, 0.10, 0.04
531, 25.00, 25.00, 2.62, 1.80, 8.71, -0.05, 0.09, -0.06
541, 25.00, 25.00, 1.86, -4.75, 9.11, -0.02, 0.01, 0.01
551, 25.00, 25.00, -1.30, 2.18, 8.75, -0.01, 0.03, -0.03
561, 25.00, 25.00, 0.18, -2.45, 9.82, -0.09, 0.06, -0.07
571, 25.00, 25.00, 0.79, 1.58, 9.11, -0.04, 0.07, 0.06
581, 25.00, 25.00, 1.87, 2.61, 8.95, -0.04, 0.12, -0.05
591, 25.00, 25.00, 1.65, -5.49, 9.54, -0.02, 0.02, 0.01
601, 25.00, 25.00, -1.52, 2.00, 9.12, 0.01, 0.02, 0.02
611, 25.00, 25.00, -0.55, -3.10, 9.85, -0.07, 0.05, -0.05
621, 25.00, 25.00, 0.51, 1.62, 9.66, -0.03, 0.06, 0.05
631, 25.00, 25.00, -0.10, 2.01, 10.11, -0.06, 0.10, -0.04
641, 25.00, 25.00, 1.70, -5.49, 9.42, -0.04, 0.02, -0.02
651, 25.00, 25.00, -2.74, 2.03, 10.38, 0.02, 0.02, 0.05
661, 25.00, 25.00, -0.14, -2.40, 10.43, -0.05, 0.07, -0.04
671, 25.00, 25.00, 0.47, -1.31, 9.67, -0.04, 0.06, 0.05
681, 25.00, 25.00, 0.29, 4.09, 9.94, -0.06, 0.11, -0.04
691, 25.00, 25.00, 2.28, -6.03, 9.58, -0.05, 0.04, -0.00
701, 25.00, 25.00, 0.15, 1.67, 8.92, 0.03, 0.02, 0.06
711, 25.00, 25.00, -0.51, -2.06, 9.97, -0.05, 0.04, -0.03
721, 25.00, 25.00, -0.08, -0.94, 10.54, -0.04, 0.06, 0.05
731, 25.00, 25.00, 0.61, 3.72, 9.13, -0.06, 0.13, -0.03
741, 25.00, 25.00, 4.07, -4.81, 9.08, -0.06, 0.04, -0.03
751, 25.00, 25.00, 0.72, 2.22, 8.16, 0.01, 0.02, 0.06
761, 25.00, 25.00, -0.20, -1.71, 11.48, -0.03, 0.06, -0.03
771, 25.00, 25.00, 0.82, -2.52, 9.51, -0.04, 0.07, 0.05
781, 25.00, 25.00, 0.10, 3.61, 9.78, -0.07, 0.11, -0.05
791, 25.00, 25.00, 3.20, -4.02, 8.51, -0.07, 0.05, -0.06
801, 25.00, 25.00, 0.79, 2.31, 9.46, -0.00, 0.04, 0.04
811, 25.00, 25.00, 1.28, 0.35, 9.89, -0.04, 0.09, -0.03
821, 25.00, 25.00, 1.39, -4.03, 9.15, -0.04, 0.05, 0.02
831, 25.00, 25.00, 0.25, 4.16, 8.76, -0.06, 0.09, -0.04
841, 25.00, 25.00, 2.18, -4.16, 9.66, -0.10, 0.06, -0.09
851, 25.00, 25.00, 1.45, 2.48, 9.42, -0.02, 0.04, 0.03
861, 25.00, 25.00, 2.13, 1.74, 8.09, -0.04, 0.11, -0.03
871, 25.00, 25.00, 1.91, -3.64, 9.61, -0.03, 0.03, 0.00
881, 25.00, 25.00, -0.27, 2.80, 8.85, -0.03, 0.09, -0.02
891, 25.00, 25.00, 1.40, -3.88, 9.92, -0.09, 0.06, -0.09
901, 25.00, 25.00, 0.56, 2.50, 8.60, -0.03, 0.04, 0.02
911, 25.00, 25.00, 0.32, 3.18, 9.99, -0.03, 0.07, -0.05
921, 25.00, 25.00, 0.28, -5.11, 10.29, -0.02, 0.03, 0.01
931, 25.00, 25.00, -0.17, 3.49, 9.24, -0.02, 0.08, 0.01
941, 25.00, 25.00, 0.09, -3.82, 10.01, -0.10, 0.07, -0.08
951, 25.00, 25.00, 0.31, 2.49, 8.95, -0.03, 0.04, 0.02
961, 25.00, 25.00, -0.89, 2.95, 10.04, -0.04, 0.08, -0.03
971, 25.00, 25.00, 0.88, -6.06, 10.41, -0.02, 0.03, -0.00
981, 25.00, 25.00, -0.62, 3.16, 9.40, -0.01, 0.06, 0.03
991, 25.00, 25.00, 0.45, -3.56, 10.19, -0.08, 0.06, -0.06
1001, 25.00, 25.00, -0.33, 1.90, 8.87, -0.02, 0.04, 0.02
1011, 25.00, 25.00, -1.14, 3.45, 10.28, -0.05, 0.09, -0.02
1021, 25.00, 25.00, 1.99, -6.17, 9.94, -0.01, 0.04, 0.02
1031, 25.00, 25.00, -0.89, 1.71, 9.75, 0.02, 0.06, 0.05
1041, 25.00, 25.00, 0.01, -3.30, 10.30, -0.06, 0.05, -0.05
1051, 25.00, 25.00, -1.07, 1.20, 9.50, -0.03, 0.05, 0.02
1061, 25.00, 25.00, -0.90, 3.48, 10.51, -0.05, 0.10, -0.00
1071, 25.00, 25.00, 2.31, -6.08, 9.48, -0.02, 0.04, 0.01
1081, 25.00, 25.00, -0.17, 1.44, 9.38, -0.00, 0.05, 0.05
1091, 25.00, 25.00, 0.60, -2.99, 9.80, -0.05, 0.05, -0.04
1101, 25.00, 25.00, -1.25, 0.46, 10.08, -0.03, 0.04, 0.04
1111, 25.00, 25.00, -0.25, 4.36, 10.50, -0.05, 0.12, 0.00
1121, 25.00, 25.00, 2.23, -5.82, 9.69, -0.04, 0.06, 0.01
1131, 25.00, 25.00, 0.23, 1.23, 9.42, 0.01, 0.04, 0.05
1141, 25.00, 25.00, 0.26, -3.54, 9.22, -0.05, 0.03, -0.02
1151, 25.00, 25.00, -1.61, -0.37, 11.03, -0.02, 0.05, 0.04
1161, 25.00, 25.00, 0.33, 4.87, 10.15, -0.07, 0.14, 0.00
1171, 25.00, 25.00, 3.23, -7.26, 9.02, -0.04, 0.05, -0.00
1181, 25.00, 25.00, 0.63, 1.19, 8.74, 0.01, 0.03, 0.05
1191, 25.00, 25.00, -0.28, -2.87, 9.85, -0.04, 0.04, -0.02
1201, 25.00, 25.00, -0.28, 0.34, 10.19, -0.03, 0.07, 0.04
1211, 25.00, 25.00, 1.45, 4.81, 8.32, -0.06, 0.17, -0.01
1221, 25.00, 25.00, 4.29, -6.49, 8.71, -0.05, 0.07, -0.02
1231, 25.00, 25.00, 0.42, 0.64, 7.86, 0.03, 0.01, 0.05
1241, 25.00, 25.00, -1.39, -2.16, 10.75, -0.04, -0.01, -0.02
1251, 25.00, 25.00, 1.62, -0.67, 8.92, -0.04, 0.07, 0.04
1261, 25.00, 25.00, 1.47, 3.73, 8.71, -0.06, 0.15, -0.01
1271, 25.00, 25.00, 3.95, -5.97, 8.99, -0.05, 0.05, -0.02
1281, 25.00, 25.00, 0.22, 1.34, 8.39, 0.01, 0.02, 0.05
1291, 25.00, 25.00, 0.57, -1.18, 11.31, -0.03, 0.06, -0.02
1301, 25.00, 25.00, 0.55, -0.57, 9.74, -0.04, 0.06, 0.03
1311, 25.00, 25.00, 1.64, 4.20, 8.20, -0.07, 0.11, -0.02
1321, 25.00, 25.00, 2.83, -5.97, 8.63, -0.07, 0.04, -0.06
1331, 25.00, 25.00, 0.17, 2.05, 10.13, 0.01, 0.04, 0.04
1341, 25.00, 25.00, 1.98, 1.00, 9.36, -0.03, 0.07, -0.02
1351, 25.00, 25.00, 1.27, -1.98, 9.57, -0.04, 0.05, 0.03
1361, 25.00, 25.00, 0.24, 3.63, 8.87, -0.05, 0.12, -0.04
1371, 25.00, 25.00, 1.60, -5.74, 10.01, -0.09, 0.06, -0.08
1381, 25.00, 25.00, 0.91, 2.88, 9.09, -0.00, 0.03, 0.04
1391, 25.00, 25.00, 1.02, 2.01, 9.28, -0.04, 0.07, -0.03
1401, 25.00, 25.00, 1.54, -2.88, 9.73, -0.04, 0.05, 0.01
1411, 25.00, 25.00, -0.70, 3.34, 9.99, -0.05, 0.10, -0.04
1421, 25.00, 25.00, 2.69, -4.33, 9.93, -0.09, 0.08, -0.09
1431, 25.00, 25.00, 1.33, 2.68, 7.69, -0.02, 0.03, 0.02
1441, 25.00, 25.00, 0.41, 3.36, 9.93, -0.05, 0.07, -0.03
1451, 25.00, 25.00, 0.96, -4.60, 9.25, -0.03, 0.05, 0.00
1461, 25.00, 25.00, -0.58, 2.86, 10.42, -0.03, 0.11, -0.01
1471, 25.00, 25.00, 1.40, -4.54, 9.14, -0.09, 0.07, -0.09
1481, 25.00, 25.00, 0.11, 1.93, 9.88, -0.03, 0.02, 0.01
1491, 25.00, 25.00, -0.80, 3.98, 9.35, -0.05, 0.06, -0.03
1501, 25.00, 25.00, 1.33, -5.01, 10.20, -0.03, 0.05, 0.00
1511, 25.00, 25.00, -0.30, 2.51, 9.11, -0.01, 0.10, 0.02
1521, 25.00, 25.00, 0.33, -4.15, 10.70, -0.07, 0.04, -0.07
1531, 25.00, 25.00, -0.91, -0.01, 9.29, -0.02, 0.00, 0.03
1541, 25.00, 25.00, -0.96, 4.73, 10.89, -0.06, 0.08, -0.02
1551, 25.00, 25.00, 1.75, -5.85, 10.11, -0.04, 0.06, -0.00
1561, 25.00, 25.00, 1.34, 1.74, 9.06, 0.02, 0.07, 0.06
1571, 25.00, 25.00, 0.60, -3.74, 9.37, -0.04, 0.06, -0.04
1581, 25.00, 25.00, -0.22, 0.09, 10.33, -0.02, 0.01, 0.03
1591, 25.00, 25.00, -0.38, 4.55, 9.19, -0.08, 0.09, -0.01
1601, 25.00, 25.00, 3.64, -5.77, 8.98, -0.05, 0.06, -0.02
1611, 25.00, 25.00, 0.72, 2.15, 8.82, 0.01, 0.06, 0.06
1621, 25.00, 25.00, 1.14, -1.71, 10.88, -0.04, 0.06, -0.01
1631, 25.00, 25.00, 0.45, -1.83, 9.12, -0.03, 0.03, 0.02
1641, 25.00, 25.00, -0.03, 4.33, 9.27, -0.05, 0.08, -0.02
1651, 25.00, 25.00, 2.51, -5.48, 9.11, -0.06, 0.08, -0.05
1661, 25.00, 25.00, 1.23, 2.67, 10.04, 0.01, 0.06, 0.04
1671, 25.00, 25.00, 2.58, 0.73, 8.89, -0.04, 0.08, -0.00
1681, 25.00, 25.00, 1.30, -2.36, 9.05, -0.05, 0.03, 0.01
1691, 25.00, 25.00, -0.68, 4.05, 8.96, -0.06, 0.09, -0.02
1701, 25.00, 25.00, 1.78, -5.57, 10.50, -0.09, 0.08, -0.07
1711, 25.00, 25.00, 1.36, 3.39, 8.85, 0.00, 0.05, 0.03
1721, 25.00, 25.00, 1.70, 2.02, 8.81, -0.04, 0.07, -0.04
1731, 25.00, 25.00, 0.89, -2.85, 9.90, -0.04, 0.04, 0.00
1741, 25.00, 25.00, -0.54, 2.70, 8.72, -0.06, 0.10, -0.02
1751, 25.00, 25.00, 1.93, -5.13, 9.63, -0.09, 0.08, -0.08
1761, 25.00, 25.00, 0.37, 2.58, 7.88, -0.01, 0.05, 0.02
1771, 25.00, 25.00, 0.56, 2.87, 9.94, -0.05, 0.06, -0.04
1781, 25.00, 25.00, 0.21, -4.60, 10.24, -0.03, 0.04, -0.00
1791, 25.00, 25.00, -0.47, 3.37, 9.97, -0.04, 0.11, -0.00
1801, 25.00, 25.00, 0.44, -5.36, 9.16, -0.09, 0.06, -0.08
1811, 25.00, 25.00, -0.23, 1.96, 9.41, -0.03, 0.02, 0.01
1821, 25.00, 25.00, -1.16, 3.40, 9.96, -0.04, 0.06, -0.04
1831, 25.00, 25.00, 1.01, -4.56, 10.31, -0.02, 0.02, 0.01
1841, 25.00, 25.00, -0.87, 2.54, 9.25, -0.03, 0.09, 0.02
1851, 25.00, 25.00, 0.78, -4.81, 9.86, -0.08, 0.07, -0.08
1861, 25.00, 25.00, -0.86, 1.05, 9.85, -0.02, 0.01, 0.02
1871, 25.00, 25.00, -0.54, 3.48, 9.70, -0.05, 0.07, -0.02
1881, 25.00, 25.00, 1.67, -5.06, 10.21, -0.02, 0.06, 0.01
1891, 25.00, 25.00, -0.13, 1.61, 9.39, -0.02, 0.09, 0.04
1901, 25.00, 25.00, 0.89, -4.24, 10.05, -0.06, 0.06, -0.05
1911, 25.00, 25.00, -1.14, -0.25, 9.47, -0.01, 0.01, 0.01
1921, 25.00, 25.00, -0.64, 4.30, 10.66, -0.05, 0.05, -0.01
1931, 25.00, 25.00, 1.79, -5.18, 10.07, -0.04, 0.08, 0.00
1941, 25.00, 25.00, 0.50, 1.64, 10.93, -0.00, 0.08, 0.06
1951, 25.00, 25.00, 0.56, -4.12, 9.39, -0.05, 0.05, -0.03
1961, 25.00, 25.00, -1.13, -0.65, 10.55, -0.02, -0.01, 0.02
1971, 25.00, 25.00, 0.03, 4.72, 9.18, -0.04, 0.10, -0.01
1981, 25.00, 25.00, 3.38, -5.36, 9.62, -0.04, 0.07, 0.01
1991, 25.00, 25.00, 1.17, 2.03, 8.61, 0.01, 0.07, 0.06
2001, 25.00, 25.00, 0.27, -3.68, 10.20, -0.04, 0.04, -0.03
2011, 25.00, 25.00, -0.06, -1.16, 10.19, -0.02, 0.01, 0.03
2021, 25.00, 25.00, 0.26, 4.51, 8.76, -0.04, 0.09, 0.01
2031, 25.00, 25.00, 3.60, -4.80, 9.26, -0.07, 0.08, -0.02
2041, 25.00, 25.00, 1.63, 1.75, 8.01, 0.01, 0.06, 0.05
2051, 25.00, 25.00, 0.54, -1.42, 10.92, -0.06, 0.05, -0.03
2061, 25.00, 25.00, 0.20, -2.69, 9.22, -0.02, 0.02, 0.03
2071, 25.00, 25.00, 0.77, 5.15, 9.03, -0.05, 0.10, -0.01
2081, 25.00, 25.00, 2.51, -4.79, 9.40, -0.07, 0.08, -0.04
2091, 25.00, 25.00, 1.19, 2.34, 9.85, -0.00, 0.06, 0.04
2101, 25.00, 25.00, 2.22, 0.33, 8.31, -0.05, 0.06, -0.02
2111, 25.00, 25.00, 0.84, -3.00, 9.19, -0.03, 0.04, 0.03
2121, 25.00, 25.00, -0.41, 5.12, 9.04, -0.06, 0.10, -0.03
2131, 25.00, 25.00, 2.96, -4.36, 9.77, -0.08, 0.08, -0.06
2141, 25.00, 25.00, 1.56, 1.86, 8.91, 0.01, 0.05, 0.02
2151, 25.00, 25.00, 1.13, 0.64, 8.59, -0.05, 0.06, -0.02
2161, 25.00, 25.00, 1.32, -2.38, 9.37, -0.03, 0.02, 0.03
2171, 25.00, 25.00, -0.34, 3.62, 9.00, -0.04, 0.12, -0.03
2181, 25.00, 25.00, 2.08, -4.58, 10.34, -0.08, 0.08, -0.07
2191, 25.00, 25.00, 0.43, 2.62, 8.52, -0.01, 0.04, 0.03
2201, 25.00, 25.00, 0.30, 1.95, 9.75, -0.05, 0.06, -0.04
2211, 25.00, 25.00, 0.99, -3.06, 9.56, -0.03, 0.04, 0.00
2221, 25.00, 25.00, 0.31, 2.87, 8.24, -0.05, 0.12, -0.03
2231, 25.00, 25.00, 1.61, -5.11, 9.89, -0.10, 0.06, -0.09
2241, 25.00, 25.00, -0.13, 3.36, 8.21, -0.03, 0.04, 0.01
2251, 25.00, 25.00, 0.48, 2.60, 10.05, -0.03, 0.08, -0.04
2261, 25.00, 25.00, 1.30, -3.45, 9.52, -0.03, 0.05, 0.01
2271, 25.00, 25.00, -0.51, 2.60, 9.96, -0.05, 0.10, -0.03
2281, 25.00, 25.00, 1.31, -5.12, 9.22, -0.08, 0.07, -0.08
2291, 25.00, 25.00, -0.17, 3.48, 8.05, -0.02, 0.03, 0.01
2301, 25.00, 25.00, 0.15, 3.12, 10.23, -0.05, 0.06, -0.03
2311, 25.00, 25.00, 0.87, -4.72, 9.33, -0.04, 0.05, 0.01
2321, 25.00, 25.00, 0.10, 2.75, 9.16, -0.05, 0.10, -0.04
2331, 25.00, 25.00, 0.19, -5.03, 9.28, -0.08, 0.05, -0.09
2341, 25.00, 25.00, -0.30, 2.61, 9.13, -0.02, 0.02, 0.01
2351, 25.00, 25.00, -0.34, 3.00, 10.04, -0.04, 0.08, -0.03
2361, 25.00, 25.00, 1.74, -4.62, 9.69, -0.02, 0.06, 0.00
2371, 25.00, 25.00, -0.50, 2.13, 9.80, -0.03, 0.09, -0.00
2381, 25.00, 25.00, -0.01, -4.85, 9.34, -0.08, 0.05, -0.08
2391, 25.00, 25.00, -0.98, 2.10, 9.74, -0.01, 0.03, 0.02
2401, 25.00, 25.00, -0.09, 3.52, 9.27, -0.05, 0.11, -0.03
2411, 25.00, 25.00, 3.01, -4.79, 8.92, -0.03, 0.06, 0.01
2421, 25.00, 25.00, -1.07, 1.03, 10.01, -0.02, 0.07, 0.00
2431, 25.00, 25.00, -0.77, -5.06, 10.16, -0.09, 0.02, -0.07
2441, 25.00, 25.00, -1.41, 1.12, 10.06, -0.02, 0.01, 0.02
2451, 25.00, 25.00, 0.42, 4.34, 9.92, -0.05, 0.12, -0.01
2461, 25.00, 25.00, 2.31, -4.42, 9.65, -0.02, 0.06, 0.01
2471, 25.00, 25.00, 0.13, 0.57, 9.77, -0.00, 0.05, 0.05
2481, 25.00, 25.00, 0.15, -4.95, 9.25, -0.06, 0.05, -0.05
2491, 25.00, 25.00, -0.80, 0.50, 10.39, -0.02, -0.00, 0.01
2501, 25.00, 25.00, 0.86, 4.65, 9.65, -0.05, 0.12, 0.00
2511, 25.00, 25.00, 3.11, -5.52, 9.99, -0.04, 0.08, 0.01
2521, 25.00, 25.00, 1.24, 1.12, 8.81, 0.02, 0.05, 0.06
2531, 25.00, 25.00, -0.25, -4.86, 9.79, -0.04, 0.01, -0.03
2541, 25.00, 25.00, -0.73, 0.21, 11.01, -0.02, -0.03, 0.03
2551, 25.00, 25.00, 1.77, 4.16, 7.65, -0.05, 0.15, 0.01
2561, 25.00, 25.00, 4.13, -4.66, 8.68, -0.04, 0.08, -0.01
2571, 25.00, 25.00, 0.85, 1.74, 8.95, 0.02, 0.04, 0.08
2581, 25.00, 25.00, 0.10, -3.24, 10.75, -0.04, 0.01, -0.02
2591, 25.00, 25.00, 0.80, -0.78, 9.06, -0.01, 0.03, 0.03
2601, 25.00, 25.00, 1.78, 5.48, 7.81, -0.06, 0.17, 0.01
2611, 25.00, 25.00, 2.32, -4.88, 9.52, -0.06, 0.08, -0.04
2621, 25.00, 25.00, 1.20, 2.71, 9.64, 0.04, 0.05, 0.08
2631, 25.00, 25.00, 1.39, -1.45, 9.16, -0.04, 0.02, -0.03
2641, 25.00, 25.00, 0.39, -0.76, 10.00, -0.01, -0.01, 0.01
2651, 25.00, 25.00, 1.14, 5.15, 7.78, -0.07, 0.12, 0.01
2661, 25.00, 25.00, 2.40, -4.63, 10.74, -0.08, 0.09, -0.06
2671, 25.00, 25.00, 1.59, 1.92, 8.40, -0.00, 0.06, 0.05
2681, 25.00, 25.00, 0.40, 1.36, 9.81, -0.05, 0.06, -0.04
2691, 25.00, 25.00, -0.51, -1.90, 10.83, -0.01, -0.02, -0.00
2701, 25.00, 25.00, 1.28, 3.99, 7.94, -0.06, 0.11, 0.01
2711, 25.00, 25.00, 1.70, -5.64, 9.13, -0.08, 0.11, -0.09
2721, 25.00, 25.00, 0.31, 2.02, 8.98, -0.03, 0.07, 0.02
2731, 25.00, 25.00, -1.23, 1.46, 9.66, -0.04, 0.04, -0.03
2741, 25.00, 25.00, 0.31, -2.24, 10.67, 0.00, -0.02, -0.02
2751, 25.00, 25.00, 0.11, 1.54, 9.66, -0.03, 0.12, 0.03
2761, 25.00, 25.00, 1.13, -5.82, 10.74, -0.09, 0.10, -0.08
2771, 25.00, 25.00, -0.23, 0.55, 8.65, -0.03, 0.03, 0.01
2781, 25.00, 25.00, -0.04, 1.06, 10.09, -0.04, 0.04, -0.04
2791, 25.00, 25.00, 1.72, -3.07, 8.87, -0.01, 0.00, -0.01
2801, 25.00, 25.00, 0.84, 1.81, 10.41, -0.01, 0.13, 0.08
2811, 25.00, 25.00, 0.93, -6.09, 9.53, -0.08, 0.08, -0.06
2821, 25.00, 25.00, -1.18, -1.22, 10.31, -0.03, 0.01, 0.00
2831, 25.00, 25.00, -1.08, 3.75, 9.99, -0.06, 0.04, -0.01
2841, 25.00, 25.00, 3.47, -3.84, 7.80, -0.02, 0.04, -0.01
2851, 25.00, 25.00, 2.51, 2.58, 7.71, 0.02, 0.13, 0.10
2861, 25.00, 25.00, 0.91, -5.55, 10.57, -0.05, 0.07, -0.04
2871, 25.00, 25.00, -0.78, -1.48, 10.24, -0.03, 0.02, 0.02
2881, 25.00, 25.00, 0.60, 4.19, 8.62, -0.05, 0.06, 0.01
2891, 25.00, 25.00, 1.14, -3.58, 9.86, -0.05, 0.05, -0.03
2901, 25.00, 25.00, 0.87, 2.33, 9.76, 0.04, 0.10, 0.11
2911, 25.00, 25.00, 2.58, -2.30, 9.94, -0.05, 0.07, -0.02
2921, 25.00, 25.00, 0.71, -2.94, 9.36, -0.03, -0.00, 0.01
2931, 25.00, 25.00, -0.12, 2.71, 9.48, -0.06, 0.07, 0.02
2941, 25.00, 25.00, 1.86, -3.31, 9.70, -0.06, 0.09, -0.07
2951, 25.00, 25.00, 1.22, 3.43, 8.90, 0.01, 0.11, 0.10
2961, 25.00, 25.00, 1.69, -4.17, 10.69, -0.04, 0.09, -0.01
2971, 25.00, 25.00, 0.61, -1.55, 9.20, -0.04, 0.01, -0.01
2981, 25.00, 25.00, 0.27, 3.45, 9.22, -0.06, 0.04, -0.00
2991, 25.00, 25.00, 2.60, -3.12, 8.58, -0.09, 0.09, -0.12
3001, 25.00, 25.00, 1.65, 3.20, 9.81, -0.00, 0.10, 0.06
3011, 25.00, 25.00, 2.77, -0.83, 9.17, -0.06, 0.09, -0.03
3021, 25.00, 25.00, 1.53, -1.68, 8.98, -0.01, -0.01, -0.03
3031, 25.00, 25.00, -0.79, 2.37, 9.84, -0.03, 0.05, 0.01
3041, 25.00, 25.00, 1.59, -3.99, 9.13, -0.10, 0.11, -0.11
3051, 25.00, 25.00, 0.15, 3.91, 10.67, -0.03, 0.09, 0.04
3061, 25.00, 25.00, 1.94, 0.40, 9.24, -0.05, 0.07, -0.04
3071, 25.00, 25.00, 0.39, -2.16, 9.43, -0.02, -0.02, -0.03
3081, 25.00, 25.00, -1.10, 1.53, 9.73, -0.02, 0.05, 0.04
3091, 25.00, 25.00, 0.68, -3.63, 8.88, -0.09, 0.07, -0.11
3101, 25.00, 25.00, 0.10, 2.91, 10.02, -0.02, 0.07, 0.03
3111, 25.00, 25.00, 0.76, 1.02, 9.41, -0.05, 0.08, -0.02
3121, 25.00, 25.00, 0.29, -3.08, 10.07, -0.02, 0.02, -0.03
3131, 25.00, 25.00, -1.35, 1.61, 9.46, -0.00, 0.05, 0.07
3141, 25.00, 25.00, -0.19, -3.55, 9.65, -0.08, 0.06, -0.09
3151, 25.00, 25.00, -0.99, 2.79, 10.59, -0.02, 0.05, 0.04
3161, 25.00, 25.00, 0.44, 0.61, 8.93, -0.05, 0.09, -0.02
3171, 25.00, 25.00, 0.55, -2.71, 10.06, -0.02, 0.02, -0.03
3181, 25.00, 25.00, -1.16, 1.07, 9.23, 0.02, 0.07, 0.09
3191, 25.00, 25.00, -0.34, -3.99, 10.79, -0.06, 0.06, -0.07
3201, 25.00, 25.00, -0.28, 0.64, 9.37, -0.02, 0.06, 0.05
3211, 25.00, 25.00, 0.30, 0.95, 10.41, -0.08, 0.08, -0.02
3221, 25.00, 25.00, 1.38, -2.36, 8.72, -0.02, 0.04, -0.04
3231, 25.00, 25.00, -0.46, 1.12, 9.94, 0.02, 0.08, 0.10
